family	node	go_id	aspect	evidence	negated	seeds	taxon	date
PTHR11861	PTN000933229	GO:0005886	C	IBD	false	MGI:MGI:1934765	taxon:6072	20240205
PTHR11861	PTN002627226	GO:0042470	C	IBD	false	UniProtKB:P40967|UniProtKB:Q98917|MGI:MGI:98301	taxon:117571	20220922
PTHR11861	PTN002627226	GO:0032438	P	IBD	false	UniProtKB:P40967|ZFIN:ZDB-GENE-050912-2	taxon:117571	20260528
PTHR11861	PTN002627245	GO:0005178	F	IBD	false	MGI:MGI:1934765	taxon:117571	20200316
PTHR11861	PTN002627245	GO:0007155	P	IBD	false	MGI:MGI:1934765	taxon:117571	20200316
