gene,category,family
WBGene00000682,Nematode-specific core matrisome,Cuticular Collagens
Q95Y22,Nematode-specific core matrisome,Cuticular Collagens
col-109,Nematode-specific core matrisome,Cuticular Collagens
Y38C1BA.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000683,Nematode-specific core matrisome,Cuticular Collagens
Q9N527,Nematode-specific core matrisome,Cuticular Collagens
col-110,Nematode-specific core matrisome,Cuticular Collagens
F19C7.7,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000684,Nematode-specific core matrisome,Cuticular Collagens
Q19592,Nematode-specific core matrisome,Cuticular Collagens
col-111,Nematode-specific core matrisome,Cuticular Collagens
F29B9.9,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000685,Nematode-specific core matrisome,Cuticular Collagens
Q9GYI3,Nematode-specific core matrisome,Cuticular Collagens
col-113,Nematode-specific core matrisome,Cuticular Collagens
C34D4.15,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000687,Nematode-specific core matrisome,Cuticular Collagens
M1ZJS7,Nematode-specific core matrisome,Cuticular Collagens
Q18450,Nematode-specific core matrisome,Cuticular Collagens
col-114,Nematode-specific core matrisome,Cuticular Collagens
D2024.8,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000688,Nematode-specific core matrisome,Cuticular Collagens
Q18975,Nematode-specific core matrisome,Cuticular Collagens
col-115,Nematode-specific core matrisome,Cuticular Collagens
Y42H9B.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000689,Nematode-specific core matrisome,Cuticular Collagens
Q9N3X9,Nematode-specific core matrisome,Cuticular Collagens
col-116,Nematode-specific core matrisome,Cuticular Collagens
F17E9.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000690,Nematode-specific core matrisome,Cuticular Collagens
O61525,Nematode-specific core matrisome,Cuticular Collagens
col-117,Nematode-specific core matrisome,Cuticular Collagens
T28C6.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000691,Nematode-specific core matrisome,Cuticular Collagens
G5EDG6,Nematode-specific core matrisome,Cuticular Collagens
col-118,Nematode-specific core matrisome,Cuticular Collagens
T11B7.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000692,Nematode-specific core matrisome,Cuticular Collagens
A5JYR8,Nematode-specific core matrisome,Cuticular Collagens
A5JYR9,Nematode-specific core matrisome,Cuticular Collagens
col-119,Nematode-specific core matrisome,Cuticular Collagens
C53B4.5,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000693,Nematode-specific core matrisome,Cuticular Collagens
Q18799,Nematode-specific core matrisome,Cuticular Collagens
col-12,Nematode-specific core matrisome,Cuticular Collagens
F15H10.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000601,Nematode-specific core matrisome,Cuticular Collagens
P20630,Nematode-specific core matrisome,Cuticular Collagens
col-120,Nematode-specific core matrisome,Cuticular Collagens
Y11D7A.11,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000694,Nematode-specific core matrisome,Cuticular Collagens
Q9XWR2,Nematode-specific core matrisome,Cuticular Collagens
col-121,Nematode-specific core matrisome,Cuticular Collagens
F56D5.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000695,Nematode-specific core matrisome,Cuticular Collagens
Q20880,Nematode-specific core matrisome,Cuticular Collagens
col-122,Nematode-specific core matrisome,Cuticular Collagens
T05A1.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000696,Nematode-specific core matrisome,Cuticular Collagens
Q22183,Nematode-specific core matrisome,Cuticular Collagens
col-123,Nematode-specific core matrisome,Cuticular Collagens
W08D2.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000697,Nematode-specific core matrisome,Cuticular Collagens
Q23222,Nematode-specific core matrisome,Cuticular Collagens
col-124,Nematode-specific core matrisome,Cuticular Collagens
C24F3.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000698,Nematode-specific core matrisome,Cuticular Collagens
Q9NAR3,Nematode-specific core matrisome,Cuticular Collagens
col-125,Nematode-specific core matrisome,Cuticular Collagens
C29F4.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000699,Nematode-specific core matrisome,Cuticular Collagens
Q18302,Nematode-specific core matrisome,Cuticular Collagens
col-126,Nematode-specific core matrisome,Cuticular Collagens
F54D1.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000700,Nematode-specific core matrisome,Cuticular Collagens
G5EFU8,Nematode-specific core matrisome,Cuticular Collagens
col-127,Nematode-specific core matrisome,Cuticular Collagens
F54D1.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000701,Nematode-specific core matrisome,Cuticular Collagens
G5EFU8,Nematode-specific core matrisome,Cuticular Collagens
col-128,Nematode-specific core matrisome,Cuticular Collagens
F12F6.9,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000702,Nematode-specific core matrisome,Cuticular Collagens
Q19368,Nematode-specific core matrisome,Cuticular Collagens
col-129,Nematode-specific core matrisome,Cuticular Collagens
M18.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000703,Nematode-specific core matrisome,Cuticular Collagens
Q21556,Nematode-specific core matrisome,Cuticular Collagens
col-13,Nematode-specific core matrisome,Cuticular Collagens
F15H10.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000602,Nematode-specific core matrisome,Cuticular Collagens
P20631,Nematode-specific core matrisome,Cuticular Collagens
col-130,Nematode-specific core matrisome,Cuticular Collagens
F08G5.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000704,Nematode-specific core matrisome,Cuticular Collagens
Q19218,Nematode-specific core matrisome,Cuticular Collagens
col-131,Nematode-specific core matrisome,Cuticular Collagens
C39E9.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000705,Nematode-specific core matrisome,Cuticular Collagens
Q18537,Nematode-specific core matrisome,Cuticular Collagens
col-132,Nematode-specific core matrisome,Cuticular Collagens
C39E9.9,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000706,Nematode-specific core matrisome,Cuticular Collagens
Q18536,Nematode-specific core matrisome,Cuticular Collagens
col-133,Nematode-specific core matrisome,Cuticular Collagens
F52B11.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000707,Nematode-specific core matrisome,Cuticular Collagens
Q9XUE9,Nematode-specific core matrisome,Cuticular Collagens
col-137,Nematode-specific core matrisome,Cuticular Collagens
Y51H4A.9,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000710,Nematode-specific core matrisome,Cuticular Collagens
Q9NAE0,Nematode-specific core matrisome,Cuticular Collagens
col-138,Nematode-specific core matrisome,Cuticular Collagens
C52D10.13,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000711,Nematode-specific core matrisome,Cuticular Collagens
A3QM98,Nematode-specific core matrisome,Cuticular Collagens
col-139,Nematode-specific core matrisome,Cuticular Collagens
F41F3.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000712,Nematode-specific core matrisome,Cuticular Collagens
Q20282,Nematode-specific core matrisome,Cuticular Collagens
col-14,Nematode-specific core matrisome,Cuticular Collagens
C46A5.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000603,Nematode-specific core matrisome,Cuticular Collagens
P18834,Nematode-specific core matrisome,Cuticular Collagens
B2MZB1,Nematode-specific core matrisome,Cuticular Collagens
col-140,Nematode-specific core matrisome,Cuticular Collagens
F26F12.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000713,Nematode-specific core matrisome,Cuticular Collagens
Q19813,Nematode-specific core matrisome,Cuticular Collagens
col-141,Nematode-specific core matrisome,Cuticular Collagens
T15B7.5,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000714,Nematode-specific core matrisome,Cuticular Collagens
O17035,Nematode-specific core matrisome,Cuticular Collagens
col-142,Nematode-specific core matrisome,Cuticular Collagens
T15B7.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000715,Nematode-specific core matrisome,Cuticular Collagens
O17036,Nematode-specific core matrisome,Cuticular Collagens
col-143,Nematode-specific core matrisome,Cuticular Collagens
T15B7.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000716,Nematode-specific core matrisome,Cuticular Collagens
O17038,Nematode-specific core matrisome,Cuticular Collagens
col-144,Nematode-specific core matrisome,Cuticular Collagens
B0222.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000717,Nematode-specific core matrisome,Cuticular Collagens
col-145,Nematode-specific core matrisome,Cuticular Collagens
B0222.7,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000718,Nematode-specific core matrisome,Cuticular Collagens
Q17459,Nematode-specific core matrisome,Cuticular Collagens
col-146,Nematode-specific core matrisome,Cuticular Collagens
T06E4.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000719,Nematode-specific core matrisome,Cuticular Collagens
Q22260,Nematode-specific core matrisome,Cuticular Collagens
col-147,Nematode-specific core matrisome,Cuticular Collagens
T06E4.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000720,Nematode-specific core matrisome,Cuticular Collagens
Q22256,Nematode-specific core matrisome,Cuticular Collagens
col-148,Nematode-specific core matrisome,Cuticular Collagens
C12D8.8,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000721,Nematode-specific core matrisome,Cuticular Collagens
Q17939,Nematode-specific core matrisome,Cuticular Collagens
col-149,Nematode-specific core matrisome,Cuticular Collagens
B0024.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000722,Nematode-specific core matrisome,Cuticular Collagens
Q17417,Nematode-specific core matrisome,Cuticular Collagens
col-150,Nematode-specific core matrisome,Cuticular Collagens
B0024.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000723,Nematode-specific core matrisome,Cuticular Collagens
Q17418,Nematode-specific core matrisome,Cuticular Collagens
col-151,Nematode-specific core matrisome,Cuticular Collagens
AC3.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000724,Nematode-specific core matrisome,Cuticular Collagens
Q17402,Nematode-specific core matrisome,Cuticular Collagens
col-152,Nematode-specific core matrisome,Cuticular Collagens
F32G8.5,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000725,Nematode-specific core matrisome,Cuticular Collagens
Q19979,Nematode-specific core matrisome,Cuticular Collagens
col-153,Nematode-specific core matrisome,Cuticular Collagens
F17C11.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000726,Nematode-specific core matrisome,Cuticular Collagens
Q19514,Nematode-specific core matrisome,Cuticular Collagens
col-154,Nematode-specific core matrisome,Cuticular Collagens
F55C10.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000727,Nematode-specific core matrisome,Cuticular Collagens
Q20805,Nematode-specific core matrisome,Cuticular Collagens
col-155,Nematode-specific core matrisome,Cuticular Collagens
F55C10.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000728,Nematode-specific core matrisome,Cuticular Collagens
Q21184,Nematode-specific core matrisome,Cuticular Collagens
col-156,Nematode-specific core matrisome,Cuticular Collagens
F57B7.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000729,Nematode-specific core matrisome,Cuticular Collagens
Q20927,Nematode-specific core matrisome,Cuticular Collagens
col-157,Nematode-specific core matrisome,Cuticular Collagens
T11F9.9,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000730,Nematode-specific core matrisome,Cuticular Collagens
Q22393,Nematode-specific core matrisome,Cuticular Collagens
col-158,Nematode-specific core matrisome,Cuticular Collagens
D2023.7,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000731,Nematode-specific core matrisome,Cuticular Collagens
O17734,Nematode-specific core matrisome,Cuticular Collagens
col-159,Nematode-specific core matrisome,Cuticular Collagens
F57B1.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000732,Nematode-specific core matrisome,Cuticular Collagens
col-160,Nematode-specific core matrisome,Cuticular Collagens
F57B1.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000733,Nematode-specific core matrisome,Cuticular Collagens
col-161,Nematode-specific core matrisome,Cuticular Collagens
C50B6.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000734,Nematode-specific core matrisome,Cuticular Collagens
O17686,Nematode-specific core matrisome,Cuticular Collagens
col-162,Nematode-specific core matrisome,Cuticular Collagens
Y2H9A.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000735,Nematode-specific core matrisome,Cuticular Collagens
Q9U2P5,Nematode-specific core matrisome,Cuticular Collagens
col-163,Nematode-specific core matrisome,Cuticular Collagens
F46B3.17,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000736,Nematode-specific core matrisome,Cuticular Collagens
Q86D09,Nematode-specific core matrisome,Cuticular Collagens
col-164,Nematode-specific core matrisome,Cuticular Collagens
T21D9.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000737,Nematode-specific core matrisome,Cuticular Collagens
Q22651,Nematode-specific core matrisome,Cuticular Collagens
col-165,Nematode-specific core matrisome,Cuticular Collagens
F14H12.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000738,Nematode-specific core matrisome,Cuticular Collagens
Q966K5,Nematode-specific core matrisome,Cuticular Collagens
col-166,Nematode-specific core matrisome,Cuticular Collagens
T07H6.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000739,Nematode-specific core matrisome,Cuticular Collagens
col-167,Nematode-specific core matrisome,Cuticular Collagens
T10E10.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000740,Nematode-specific core matrisome,Cuticular Collagens
Q22379,Nematode-specific core matrisome,Cuticular Collagens
col-168,Nematode-specific core matrisome,Cuticular Collagens
T10E10.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000741,Nematode-specific core matrisome,Cuticular Collagens
col-169,Nematode-specific core matrisome,Cuticular Collagens
T10E10.5,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000742,Nematode-specific core matrisome,Cuticular Collagens
Q86NE4,Nematode-specific core matrisome,Cuticular Collagens
col-170,Nematode-specific core matrisome,Cuticular Collagens
T10E10.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000743,Nematode-specific core matrisome,Cuticular Collagens
col-171,Nematode-specific core matrisome,Cuticular Collagens
T10E10.7,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000744,Nematode-specific core matrisome,Cuticular Collagens
Q86NE2,Nematode-specific core matrisome,Cuticular Collagens
col-172,Nematode-specific core matrisome,Cuticular Collagens
F38B6.5,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000745,Nematode-specific core matrisome,Cuticular Collagens
Q20142,Nematode-specific core matrisome,Cuticular Collagens
col-173,Nematode-specific core matrisome,Cuticular Collagens
F41C6.5,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000746,Nematode-specific core matrisome,Cuticular Collagens
Q20270,Nematode-specific core matrisome,Cuticular Collagens
col-174,Nematode-specific core matrisome,Cuticular Collagens
F46C8.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000747,Nematode-specific core matrisome,Cuticular Collagens
Q9GYP3,Nematode-specific core matrisome,Cuticular Collagens
col-175,Nematode-specific core matrisome,Cuticular Collagens
C35B8.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000748,Nematode-specific core matrisome,Cuticular Collagens
col-176,Nematode-specific core matrisome,Cuticular Collagens
ZC373.7,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000749,Nematode-specific core matrisome,Cuticular Collagens
Q23263,Nematode-specific core matrisome,Cuticular Collagens
col-177,Nematode-specific core matrisome,Cuticular Collagens
F59F3.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000750,Nematode-specific core matrisome,Cuticular Collagens
Q21039,Nematode-specific core matrisome,Cuticular Collagens
col-178,Nematode-specific core matrisome,Cuticular Collagens
C34F6.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000751,Nematode-specific core matrisome,Cuticular Collagens
O17641,Nematode-specific core matrisome,Cuticular Collagens
col-179,Nematode-specific core matrisome,Cuticular Collagens
C34F6.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000752,Nematode-specific core matrisome,Cuticular Collagens
O17642,Nematode-specific core matrisome,Cuticular Collagens
col-180,Nematode-specific core matrisome,Cuticular Collagens
C44C10.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000753,Nematode-specific core matrisome,Cuticular Collagens
Q18620,Nematode-specific core matrisome,Cuticular Collagens
col-181,Nematode-specific core matrisome,Cuticular Collagens
W03G11.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000754,Nematode-specific core matrisome,Cuticular Collagens
Q2XN04,Nematode-specific core matrisome,Cuticular Collagens
Q23150,Nematode-specific core matrisome,Cuticular Collagens
col-182,Nematode-specific core matrisome,Cuticular Collagens
R09A8.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000755,Nematode-specific core matrisome,Cuticular Collagens
col-183,Nematode-specific core matrisome,Cuticular Collagens
F02D10.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000756,Nematode-specific core matrisome,Cuticular Collagens
Q19111,Nematode-specific core matrisome,Cuticular Collagens
col-184,Nematode-specific core matrisome,Cuticular Collagens
F15A2.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000757,Nematode-specific core matrisome,Cuticular Collagens
Q19470,Nematode-specific core matrisome,Cuticular Collagens
I2HA94,Nematode-specific core matrisome,Cuticular Collagens
col-185,Nematode-specific core matrisome,Cuticular Collagens
H06A10.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000758,Nematode-specific core matrisome,Cuticular Collagens
Q7YXA3,Nematode-specific core matrisome,Cuticular Collagens
col-186,Nematode-specific core matrisome,Cuticular Collagens
E03G2.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000759,Nematode-specific core matrisome,Cuticular Collagens
Q19050,Nematode-specific core matrisome,Cuticular Collagens
col-187,Nematode-specific core matrisome,Cuticular Collagens
C30F2.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000760,Nematode-specific core matrisome,Cuticular Collagens
Q18327,Nematode-specific core matrisome,Cuticular Collagens
col-19,Nematode-specific core matrisome,Cuticular Collagens
ZK1193.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000608,Nematode-specific core matrisome,Cuticular Collagens
P18835,Nematode-specific core matrisome,Cuticular Collagens
col-2,Nematode-specific core matrisome,Cuticular Collagens
W01B6.7,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000593,Nematode-specific core matrisome,Cuticular Collagens
P17656,Nematode-specific core matrisome,Cuticular Collagens
col-20,Nematode-specific core matrisome,Cuticular Collagens
F11G11.11,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000609,Nematode-specific core matrisome,Cuticular Collagens
P91249,Nematode-specific core matrisome,Cuticular Collagens
col-33,Nematode-specific core matrisome,Cuticular Collagens
F36A4.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000610,Nematode-specific core matrisome,Cuticular Collagens
Q20091,Nematode-specific core matrisome,Cuticular Collagens
col-34,Nematode-specific core matrisome,Cuticular Collagens
F36A4.10,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000611,Nematode-specific core matrisome,Cuticular Collagens
P34687,Nematode-specific core matrisome,Cuticular Collagens
col-35,Nematode-specific core matrisome,Cuticular Collagens
C15A11.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000612,Nematode-specific core matrisome,Cuticular Collagens
Q93208,Nematode-specific core matrisome,Cuticular Collagens
col-36,Nematode-specific core matrisome,Cuticular Collagens
C27H5.5,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000613,Nematode-specific core matrisome,Cuticular Collagens
P34803,Nematode-specific core matrisome,Cuticular Collagens
col-37,Nematode-specific core matrisome,Cuticular Collagens
ZK863.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000614,Nematode-specific core matrisome,Cuticular Collagens
G5ECU6,Nematode-specific core matrisome,Cuticular Collagens
col-38,Nematode-specific core matrisome,Cuticular Collagens
F54C9.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000615,Nematode-specific core matrisome,Cuticular Collagens
Q20754,Nematode-specific core matrisome,Cuticular Collagens
col-39,Nematode-specific core matrisome,Cuticular Collagens
C09G5.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000616,Nematode-specific core matrisome,Cuticular Collagens
Q09455,Nematode-specific core matrisome,Cuticular Collagens
col-40,Nematode-specific core matrisome,Cuticular Collagens
T13B5.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000617,Nematode-specific core matrisome,Cuticular Collagens
P34804,Nematode-specific core matrisome,Cuticular Collagens
col-41,Nematode-specific core matrisome,Cuticular Collagens
T10B10.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000618,Nematode-specific core matrisome,Cuticular Collagens
Q22369,Nematode-specific core matrisome,Cuticular Collagens
col-42,Nematode-specific core matrisome,Cuticular Collagens
Y69H2.14,Nematode-specific core matrisome,Cuticular Collagens
WBGene00013489,Nematode-specific core matrisome,Cuticular Collagens
Q8I4C0,Nematode-specific core matrisome,Cuticular Collagens
col-43,Nematode-specific core matrisome,Cuticular Collagens
ZC513.8,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000620,Nematode-specific core matrisome,Cuticular Collagens
G5ED38,Nematode-specific core matrisome,Cuticular Collagens
col-44,Nematode-specific core matrisome,Cuticular Collagens
F54B11.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000621,Nematode-specific core matrisome,Cuticular Collagens
Q20739,Nematode-specific core matrisome,Cuticular Collagens
col-45,Nematode-specific core matrisome,Cuticular Collagens
F53G12.7,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000622,Nematode-specific core matrisome,Cuticular Collagens
V6CM19,Nematode-specific core matrisome,Cuticular Collagens
O01799,Nematode-specific core matrisome,Cuticular Collagens
col-46,Nematode-specific core matrisome,Cuticular Collagens
Y18H1A.13,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000623,Nematode-specific core matrisome,Cuticular Collagens
Q1EPL5,Nematode-specific core matrisome,Cuticular Collagens
col-47,Nematode-specific core matrisome,Cuticular Collagens
Y18H1A.12,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000624,Nematode-specific core matrisome,Cuticular Collagens
V6CLE3,Nematode-specific core matrisome,Cuticular Collagens
V6CLD0,Nematode-specific core matrisome,Cuticular Collagens
col-48,Nematode-specific core matrisome,Cuticular Collagens
Y54E10BL.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000625,Nematode-specific core matrisome,Cuticular Collagens
Q9N3D7,Nematode-specific core matrisome,Cuticular Collagens
col-49,Nematode-specific core matrisome,Cuticular Collagens
K09H9.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000626,Nematode-specific core matrisome,Cuticular Collagens
O44989,Nematode-specific core matrisome,Cuticular Collagens
col-50,Nematode-specific core matrisome,Cuticular Collagens
T28F2.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000627,Nematode-specific core matrisome,Cuticular Collagens
col-51,Nematode-specific core matrisome,Cuticular Collagens
T28F2.8,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000628,Nematode-specific core matrisome,Cuticular Collagens
Q7Z152,Nematode-specific core matrisome,Cuticular Collagens
col-52,Nematode-specific core matrisome,Cuticular Collagens
D1007.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000629,Nematode-specific core matrisome,Cuticular Collagens
O01873,Nematode-specific core matrisome,Cuticular Collagens
col-53,Nematode-specific core matrisome,Cuticular Collagens
M01A12.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000630,Nematode-specific core matrisome,Cuticular Collagens
E5QCF2,Nematode-specific core matrisome,Cuticular Collagens
col-54,Nematode-specific core matrisome,Cuticular Collagens
F33D11.3,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000631,Nematode-specific core matrisome,Cuticular Collagens
O44774,Nematode-specific core matrisome,Cuticular Collagens
col-56,Nematode-specific core matrisome,Cuticular Collagens
T08B2.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000633,Nematode-specific core matrisome,Cuticular Collagens
Q9GYS2,Nematode-specific core matrisome,Cuticular Collagens
col-58,Nematode-specific core matrisome,Cuticular Collagens
F26B1.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000634,Nematode-specific core matrisome,Cuticular Collagens
P91274,Nematode-specific core matrisome,Cuticular Collagens
col-60,Nematode-specific core matrisome,Cuticular Collagens
F22D6.10,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000636,Nematode-specific core matrisome,Cuticular Collagens
Q19725,Nematode-specific core matrisome,Cuticular Collagens
col-61,Nematode-specific core matrisome,Cuticular Collagens
C01H6.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000637,Nematode-specific core matrisome,Cuticular Collagens
Q17582,Nematode-specific core matrisome,Cuticular Collagens
col-62,Nematode-specific core matrisome,Cuticular Collagens
C15A11.6,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000638,Nematode-specific core matrisome,Cuticular Collagens
Q93207,Nematode-specific core matrisome,Cuticular Collagens
col-63,Nematode-specific core matrisome,Cuticular Collagens
ZK265.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000639,Nematode-specific core matrisome,Cuticular Collagens
Q94399,Nematode-specific core matrisome,Cuticular Collagens
col-64,Nematode-specific core matrisome,Cuticular Collagens
F52F12.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000640,Nematode-specific core matrisome,Cuticular Collagens
O02271,Nematode-specific core matrisome,Cuticular Collagens
col-65,Nematode-specific core matrisome,Cuticular Collagens
K08C9.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000641,Nematode-specific core matrisome,Cuticular Collagens
Q9XUT4,Nematode-specific core matrisome,Cuticular Collagens
col-68,Nematode-specific core matrisome,Cuticular Collagens
C50D2.4,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000644,Nematode-specific core matrisome,Cuticular Collagens
O44796,Nematode-specific core matrisome,Cuticular Collagens
col-69,Nematode-specific core matrisome,Cuticular Collagens
K01A2.7,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000645,Nematode-specific core matrisome,Cuticular Collagens
Q9TZ57,Nematode-specific core matrisome,Cuticular Collagens
col-7,Nematode-specific core matrisome,Cuticular Collagens
C15A11.5,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000596,Nematode-specific core matrisome,Cuticular Collagens
P18832,Nematode-specific core matrisome,Cuticular Collagens
col-71,Nematode-specific core matrisome,Cuticular Collagens
Y49F6B.10,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000647,Nematode-specific core matrisome,Cuticular Collagens
Q9N4U2,Nematode-specific core matrisome,Cuticular Collagens
col-72,Nematode-specific core matrisome,Cuticular Collagens
W09G10.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000648,Nematode-specific core matrisome,Cuticular Collagens
col-73,Nematode-specific core matrisome,Cuticular Collagens
F11G11.12,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000649,Nematode-specific core matrisome,Cuticular Collagens
P91250,Nematode-specific core matrisome,Cuticular Collagens
col-74,Nematode-specific core matrisome,Cuticular Collagens
ZK1248.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000650,Nematode-specific core matrisome,Cuticular Collagens
Q23422,Nematode-specific core matrisome,Cuticular Collagens
col-75,Nematode-specific core matrisome,Cuticular Collagens
K03H9.2,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000651,Nematode-specific core matrisome,Cuticular Collagens
Q09578,Nematode-specific core matrisome,Cuticular Collagens
col-76,Nematode-specific core matrisome,Cuticular Collagens
M110.1,Nematode-specific core matrisome,Cuticular Collagens
WBGene00000652,Nematode-specific core matrisome,Cuticular Collagens
Q21528,Nematode-specific core matrisome,Cuticular Collagens
