suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
sad-I	PP_2488	Q88K05	Q88K05_PSEPK	sad-I	sad-I PP_2488	NAD+-dependent succinate semialdehyde dehydrogenase (EC 1.2.1.24)	unreviewed	1.0	1.2.1.24	GO:0004030; GO:0004777	kegg:ppu00350	Tyrosine metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/sad-I	PRESENT	genes/PSEPK/sad-I/sad-I-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/sad-I/sad-I-deep-research-asta.md
gbd	PP_2650	Q88JJ9	Q88JJ9_PSEPK	gbd	gbd PP_2650	4-hydroxybutyrate dehydrogenase (EC 1.1.1.61)	unreviewed	1.0	1.1.1.61	GO:0004022; GO:0046872; GO:0047577	kegg:ppu00650	Butanoate metabolism	true	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/gbd	PRESENT	genes/PSEPK/gbd/gbd-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/gbd/gbd-deep-research-asta.md
PP_2799	PP_2799	Q88J50	Q88J50_PSEPK	PP_2799	PP_2799	Aminotransferase, class III	unreviewed	1.0		GO:0004015; GO:0009102; GO:0009448; GO:0030170	kegg:ppu00250	Alanine, aspartate and glutamate metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/PP_2799	PRESENT	genes/PSEPK/PP_2799/PP_2799-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_2799/PP_2799-deep-research-asta.md
aacs	PP_3071	Q88IC8	Q88IC8_PSEPK	aacs	aacs PP_3071	Acetoacetyl-coenzyme A synthetase (EC 6.2.1.16)	unreviewed	1.0	6.2.1.16	GO:0005524; GO:0006629; GO:0030729	kegg:ppu00280	Valine, leucine and isoleucine degradation	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/aacs	PRESENT	genes/PSEPK/aacs/aacs-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/aacs/aacs-deep-research-asta.md
hbdH	PP_3073	Q88IC6	Q88IC6_PSEPK	hbdH	hbdH PP_3073	3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	unreviewed	1.0	1.1.1.30	GO:0003858; GO:0032787	kegg:ppu00650	Butanoate metabolism	true	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/hbdH	PRESENT	genes/PSEPK/hbdH/hbdH-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hbdH/hbdH-deep-research-asta.md
atoA	PP_3122	Q88I79	Q88I79_PSEPK	atoA	atoA PP_3122	3-oxoadipate CoA-transferase (EC 2.8.3.6)	unreviewed	2.0	2.8.3.6	GO:0042952; GO:0047569	kegg:ppu00280	Valine, leucine and isoleucine degradation	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/atoA	PRESENT	genes/PSEPK/atoA/atoA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/atoA/atoA-deep-research-asta.md
atoB	PP_3123	Q88I78	Q88I78_PSEPK	atoB	atoB PP_3123	3-oxoadipate CoA-transferase (EC 2.8.3.6)	unreviewed	2.0	2.8.3.6	GO:0042952; GO:0047569	kegg:ppu00280	Valine, leucine and isoleucine degradation	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/atoB	PRESENT	genes/PSEPK/atoB/atoB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/atoB/atoB-deep-research-asta.md
sad-II	PP_3151	Q88I50	Q88I50_PSEPK	sad-II	sad-II PP_3151	NAD+-dependent succinate semialdehyde dehydrogenase (EC 1.2.1.24)	unreviewed	1.0	1.2.1.24	GO:0004030; GO:0004777	kegg:ppu00760	Nicotinate and nicotinamide metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/sad-II	PRESENT	genes/PSEPK/sad-II/sad-II-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/sad-II/sad-II-deep-research-asta.md
paaH	PP_3282	Q88HS1	Q88HS1_PSEPK	paaH	paaH PP_3282	3-hydroxyadipyl-CoA dehydrogenase (EC 1.1.1.35)	unreviewed	2.0	1.1.1.35	GO:0003857; GO:0006635; GO:0008691; GO:0010124; GO:0070403	kegg:ppu00360	Phenylalanine metabolism	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/paaH	PRESENT	genes/PSEPK/paaH/paaH-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaH/paaH-deep-research-asta.md
paaF	PP_3284	Q88HR9	Q88HR9_PSEPK	paaF	paaF PP_3284	Enoyl-CoA hydratase-isomerase (EC 4.2.1.17)	unreviewed	1.0	4.2.1.17	GO:0004300; GO:0006635	kegg:ppu00930	Caprolactam degradation	false	KEGG	ppu00650	Butanoate metabolism	genes/PSEPK/paaF	PRESENT	genes/PSEPK/paaF/paaF-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/paaF/paaF-deep-research-asta.md
