family	node	go_id	aspect	evidence	negated	seeds	taxon	date
PTHR10430	PTN000046537	GO:0005739	C	IBD	false	UniProtKB:P30044|FB:FBgn0038570|RGD:71007	taxon:	20170616
PTHR10430	PTN000046537	GO:0005777	C	IBD	false	UniProtKB:P30044|RGD:71007	taxon:	20241119
PTHR10430	PTN000824129	GO:0005739	C	IBD	false	AGI_LocusCode:AT3G06050	taxon:3193	20170616
PTHR10430	PTN001625584	GO:0005737	C	IBD	false	UniProtKB:P30044|AGI_LocusCode:AT1G65980|PomBase:SPCC330.06c|RGD:71007|SGD:S000004099|FB:FBgn0038570|AGI_LocusCode:AT3G06050|UniProtKB:Q5MYR6	taxon:	20260528
PTHR10430	PTN001625584	GO:0008379	F	IBD	false	UniProtKB:O43099|SGD:S000004099|AGI_LocusCode:AT1G65970|UniProtKB:P30044|UniProtKB:Q5ASN8	taxon:	20230109
PTHR10430	PTN001625584	GO:0034599	P	IBD	false	UniProtKB:P30044|UniProtKB:Q5ASN8|UniProtKB:O43099|SGD:S000004099	taxon:	20220922
PTHR10430	PTN001625584	GO:0042744	P	IBD	false	UniProtKB:P30044|FB:FBgn0038570|UniProtKB:O43099	taxon:	20241119
PTHR10430	PTN001625584	GO:0045454	P	IBD	false	SGD:S000004099|UniProtKB:O43099|FB:FBgn0038570	taxon:	20220922
