family	node	go_id	aspect	evidence	negated	seeds	taxon	date
PTHR12205	PTN000258496	GO:0005828	C	IBD	false	UniProtKB:O43264|FB:FBgn0004643	taxon:2759	20260107
PTHR12205	PTN000258496	GO:0070939	C	IBD	false	UniProtKB:O43264|SGD:S000005202	taxon:2759	20260107
PTHR12205	PTN000258496	GO:1990423	C	IBD	false	WB:WBGene00017643|UniProtKB:O43264|FB:FBgn0004643	taxon:2759	20170228
PTHR12205	PTN000258496	GO:0140483	F	IBD	false	UniProtKB:Q498I0	taxon:2759	20260107
PTHR12205	PTN000258496	GO:0000070	P	IBD	false	FB:FBgn0004643|UniProtKB:O43264	taxon:2759	20260107
PTHR12205	PTN000258496	GO:0006888	P	IBD	false	AGI_LocusCode:AT2G32900|UniProtKB:O43264	taxon:2759	20260528
PTHR12205	PTN000258496	GO:0007094	P	IBD	false	UniProtKB:O43264|UniProtKB:Q498I0|FB:FBgn0004643	taxon:2759	20240918
