family	node	go_id	aspect	evidence	negated	seeds	taxon	date
PTHR42823	PTN000151023	GO:0005886	C	IBD	false	UniProtKB:P0AB98	taxon:2	20240212
PTHR42823	PTN000151023	GO:0045259	C	IBD	false	UniProtKB:P0AB98	taxon:2	20250413
PTHR42823	PTN000151023	GO:0046933	F	IBD	false	UniProtKB:P0AB98	taxon:2	20170228
PTHR42823	PTN000151023	GO:0042777	P	IBD	false	UniProtKB:P0AB98	taxon:2	20170228
PTHR42823	PTN000151034	GO:0045259	C	IBD	false	UniProtKB:P00847|UniProtKB:P00846|SGD:S000007268	taxon:	20250411
PTHR42823	PTN000151034	GO:0046933	F	IBD	false	UniProtKB:P00846|SGD:S000007268	taxon:	20221007
PTHR42823	PTN000151034	GO:0015986	P	IBD	false	SGD:S000007268|UniProtKB:P00846	taxon:	20250411
